resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25972,1105,4,117,14,8,7,7,7,6,66,+1:04.127,5342067,49,7,01:18.1,214.709,1
25973,1105,839,214,31,6,8,8,8,4,66,+1:09.242,5347182,54,18,01:18.9,212.362,1
25974,1105,855,51,24,13,9,9,9,2,66,+1:11.878,5349818,38,15,01:18.8,212.883,1
25975,1105,842,214,10,10,10,10,10,1,66,+1:13.530,5351470,41,10,01:18.4,213.91,1
25976,1105,844,6,16,19,11,11,11,0,66,+1:14.419,5352359,52,9,01:18.4,213.959,1
25977,1105,852,213,22,15,12,12,12,0,66,+1:15.416,5353356,59,17,01:18.9,212.475,1
25978,1105,857,1,81,9,13,13,13,0,65,\N,\N,41,13,01:18.7,213.083,11
25979,1105,856,213,21,14,14,14,14,0,65,\N,\N,41,12,01:18.6,213.313,11
25980,1105,807,210,27,7,15,15,15,0,65,\N,\N,53,16,01:18.8,212.821,11
25981,1105,848,3,23,18,16,16,16,0,65,\N,\N,59,19,01:19.1,211.861,11
25982,1105,846,1,4,3,17,17,17,0,65,\N,\N,55,4,01:17.2,217.216,11
25983,1105,825,210,20,17,18,18,18,0,65,\N,\N,44,6,01:18.1,214.748,11
25984,1105,822,51,77,16,19,19,19,0,65,\N,\N,50,8,01:18.2,214.273,11
25985,1105,858,3,2,20,20,20,20,0,65,\N,\N,41,20,01:19.2,211.556,11
25986,1106,830,9,1,1,1,1,1,25,70,33:58.3,5638348,68,3,01:15.6,207.683,1
25987,1106,4,117,14,2,2,2,2,18,70,9.57,5647918,62,4,01:15.8,207.176,1
25988,1106,1,131,44,3,3,3,3,15,70,4.598,5642946,47,2,01:15.4,208.228,1
25989,1106,844,6,16,10,4,4,4,12,70,18.648,5656996,47,5,01:15.9,206.826,1
25990,1106,832,6,55,11,5,5,5,10,70,21.54,5659888,47,6,01:15.9,206.815,1
25991,1106,815,9,11,12,6,6,6,9,70,51.028,5689376,70,1,01:14.5,210.786,1
25992,1106,848,3,23,9,7,7,7,6,70,+1:00.813,5699161,68,16,01:16.9,204.11,1
25993,1106,839,214,31,6,8,8,8,4,70,+1:01.692,5700040,63,15,01:16.8,204.469,1
25994,1106,840,117,18,16,9,9,9,2,70,+1:04.402,5702750,58,10,01:16.6,205.051,1
25995,1106,822,51,77,14,10,10,10,1,70,+1:04.432,5702780,52,12,01:16.6,204.888,1
25996,1106,857,1,81,8,11,11,11,0,70,+1:05.101,5703449,59,11,01:16.6,204.96,1
25997,1106,842,214,10,15,12,12,12,0,70,+1:05.249,5703597,67,9,01:16.4,205.424,1
25998,1106,846,1,4,7,13,13,13,0,70,+1:08.363,5706711,65,8,01:16.4,205.562,1
25999,1106,852,213,22,19,14,14,14,0,70,+1:13.423,5711771,68,14,01:16.7,204.779,1
26000,1106,807,210,27,5,15,15,15,0,69,\N,\N,37,19,01:17.2,203.278,11
