qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
10257,1130,832,6,55,6,01:12:04,01:11:09,01:11:07
10258,1130,842,214,10,7,01:12:07,01:12:01,01:11:09
10259,1130,815,9,11,8,01:12:05,01:12:01,01:12:01
10260,1130,839,214,31,9,01:12:07,01:12:01,01:12:01
10261,1130,857,1,81,10,01:12:05,01:12:00,00:00:00
10262,1130,4,117,14,11,01:12:05,01:12:01,00:00:00
10263,1130,822,15,77,12,01:12:08,01:12:02,00:00:00
10264,1130,807,210,27,13,01:12:07,01:12:03,00:00:00
10265,1130,840,117,18,14,01:12:09,01:12:04,00:00:00
10266,1130,855,15,24,15,01:12:09,01:12:07,00:00:00
10267,1130,825,210,20,16,01:12:09,00:00:00,00:00:00
10268,1130,852,215,22,17,01:13:00,00:00:00,00:00:00
10269,1130,817,215,3,18,01:13:01,00:00:00,00:00:00
10270,1130,848,3,23,19,01:13:02,00:00:00,00:00:00
10271,1130,858,3,2,20,01:13:05,00:00:00,00:00:00
10272,1131,830,9,1,1,01:05:03,01:04:05,01:04:03
10273,1131,846,1,4,2,01:05:05,01:05:01,01:04:07
10274,1131,847,131,63,3,01:05:06,01:05:00,01:04:08
10275,1131,832,6,55,4,01:05:03,01:05:00,01:04:09
10276,1131,1,131,44,5,01:05:05,01:05:01,01:04:09
10277,1131,844,6,16,6,01:05:05,01:05:01,01:05:00
10278,1131,857,1,81,7,01:05:03,01:05:01,01:05:00
10279,1131,815,9,11,8,01:05:06,01:05:01,01:05:02
10280,1131,807,210,27,9,01:05:06,01:05:03,01:05:04
10281,1131,839,214,31,10,01:05:06,01:05:03,01:05:09
10282,1131,817,215,3,11,01:05:06,01:05:03,00:00:00
10283,1131,825,210,20,12,01:05:05,01:05:03,00:00:00
10284,1131,842,214,10,13,01:05:06,01:05:04,00:00:00
10285,1131,852,215,22,14,01:05:06,01:05:04,00:00:00
10286,1131,4,117,14,15,01:05:07,01:05:06,00:00:00
10287,1131,848,3,23,16,01:05:07,00:00:00,00:00:00
10288,1131,840,117,18,17,01:05:08,00:00:00,00:00:00
10289,1131,822,15,77,18,01:05:08,00:00:00,00:00:00
10290,1131,858,3,2,19,01:05:09,00:00:00,00:00:00
10291,1131,855,15,24,20,01:06:01,00:00:00,00:00:00
